type,language,license,rightsHolder,datasetID,institutionCode,datasetName,basisOfRecord,samplingProtocol,eventID,eventDate,eventTime,countryCode,locality,waterBody,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,0004214c-7ac9-461f-abbe-97792ab09214,2022-08-09,08:21:10Z,BE,Dijle Valley,Laan,on the riverbank | within 5 meters of the riverbank | between 5 and 10 meters of the riverbank,50.75616,4.57676,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,000a85db-16ca-42a3-aa7e-6f4dd2c17b63,2022-07-26,14:17:20Z,BE,Zenne Valley,Zenne,between 10 and 20 meters of the riverbank,50.98390,4.48585,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,004e3362-9645-4d0a-b2e7-237aabc4ddce,2022-08-05,11:58:16Z,BE,Zenne Valley,Molenbeek,on the riverbank | within 5 meters of the riverbank,50.73998,4.33258,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,00585478-14df-4bda-8dc1-0b9615187b15,2022-09-06,06:44:15Z,BE,Zenne Valley,Molenbeek,on the riverbank | within 5 meters of the riverbank,50.74657,4.27839,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,006be444-0e15-429d-95a6-d476067bf00e,2022-08-31,07:49:48Z,BE,Dijle Valley,Spuibeek: second arm,in the water,51.00292,4.61447,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,009e6c05-7fdf-4269-9542-c21862874f33,2022-09-19,09:57:50Z,BE,Dijle Valley,Weesbeek,on the riverbank | within 5 meters of the riverbank,50.95909,4.56715,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,00b0ddd6-4907-4762-901a-ad79910ee208,2022-08-09,12:20:05Z,BE,Dijle Valley,Laan,between 20 and 50 meters of the riverbank,50.77176,4.61295,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,00da32c7-d80a-4c84-a467-f5953f9acb38,2022-07-12,11:48:59Z,BE,Zenne Valley,Tangebeek,on the riverbank | within 5 meters of the riverbank | between 5 and 10 meters of the riverbank | between 10 and 20 meters of the riverbank,50.91616,4.36993,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,01103ac8-b486-4d86-9676-171df95bf029,2022-09-21,12:13:12Z,BE,Zenne Valley,Amelvonnesbeek,within 5 meters of the riverbank | between 5 and 10 meters of the riverbank,50.91520,4.28440,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,011d2dfb-5569-4a08-a49c-80d743802fa4,2022-08-09,08:35:59Z,BE,Dijle Valley,Laan,on the riverbank | within 5 meters of the riverbank,50.75750,4.57850,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,01378232-e2ab-4fcb-a586-3105c4dbff95,2022-08-05,13:17:47Z,BE,Zenne Valley,Molenbeek,on the riverbank | within 5 meters of the riverbank,50.73075,4.30691,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,013a1601-6a69-4ad6-bb47-3256f448e85a,2022-08-02,11:04:21Z,BE,Zenne Valley,Groebengracht,on the riverbank | within 5 meters of the riverbank,50.73346,4.21832,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,013edd30-7e02-4f17-97cc-50f319d2dd48,2022-07-11,09:37:51Z,BE,Dijle Valley,Dijle,on the riverbank,50.79605,4.64142,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,01487a88-d24b-4122-a42a-691beb4394c9,2022-07-11,11:19:36Z,BE,Dijle Valley,Dijle,in the water,50.81694,4.64562,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,01737345-a1e5-41ae-90b2-bb3b8ea3efd2,2022-07-07,08:45:29Z,BE,Zenne Valley,Kleine Maelbeek,between 5 and 10 meters of the riverbank,50.85798,4.51216,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,01749c07-0e41-4ef5-b1fc-da4a1a9236c5,2022-09-06,06:49:39Z,BE,Zenne Valley,Molenbeek,on the riverbank | within 5 meters of the riverbank,50.74765,4.27629,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,019ce9f9-9fa1-465e-8c87-92a286f62e79,2022-07-11,10:56:26Z,BE,Dijle Valley,Dijle,on the riverbank,50.82760,4.64312,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,01b66e65-dd2b-4b5c-bae8-7c8865dbe050,2022-08-09,12:04:26Z,BE,Dijle Valley,Laan,on the riverbank | within 5 meters of the riverbank | between 5 and 10 meters of the riverbank | between 10 and 20 meters of the riverbank,50.76898,4.60649,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,01bbf04f-7bf2-4270-9353-34b3098089de,2022-07-25,09:36:30Z,BE,Dijle Valley,Dijle,on the riverbank,50.82523,4.64128,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,01d83b6d-6408-4bbd-bc98-5d8426416a06,2022-08-05,12:00:19Z,BE,Dijle Valley,Voer,on the riverbank,50.86334,4.67200,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,01f3a135-9ee6-424f-a5d3-31cca2d1ddc6,2022-07-25,08:06:05Z,BE,Dijle Valley,IJse,on the riverbank,50.77858,4.55391,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,01f741ee-d138-4412-b169-a8e51fc287e7,2022-08-09,10:58:39Z,BE,Dijle Valley,Laan,on the riverbank | within 5 meters of the riverbank | between 5 and 10 meters of the riverbank,50.76448,4.59827,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,02545c38-d27b-42d2-8811-c72760b40409,2022-09-21,13:15:45Z,BE,Zenne Valley,Maalbeek,on the riverbank | within 5 meters of the riverbank,50.90111,4.29361,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,025564bc-7b4c-4e93-bb96-2c91f54e54e4,2022-07-07,12:56:43Z,BE,Zenne Valley,Woluwe,on the riverbank | within 5 meters of the riverbank | between 5 and 10 meters of the riverbank | between 10 and 20 meters of the riverbank | between 20 and 50 meters of the riverbank | further than 50 meters of the riverbank | in the entire industrial area,50.88124,4.46391,WGS84,30
Event,en,http://creativecommons.org/publicdomain/zero/1.0/,ANB,https://doi.org/10.15468/6g56r6,ANB,"Monitoring of invasive alien plants in the LIFE RIPARIAS areas in Flanders, Belgium",HumanObservation,targeted monitoring,0272158a-82e2-46bb-9f49-6aea5f283016,2022-08-29,08:30:08Z,BE,Dijle Valley,Dijle,on the riverbank,51.00303,4.55364,WGS84,30
