eventID,measurementType,measurementValue,measurementUnit
0004214c-7ac9-461f-abbe-97792ab09214,estimated covered area,50,m²
000a85db-16ca-42a3-aa7e-6f4dd2c17b63,estimated covered area,5,m²
004e3362-9645-4d0a-b2e7-237aabc4ddce,estimated covered area,500,m²
00585478-14df-4bda-8dc1-0b9615187b15,estimated covered area,200,m²
006be444-0e15-429d-95a6-d476067bf00e,coverage,0,%
006be444-0e15-429d-95a6-d476067bf00e,estimated covered area,5,m²
009e6c05-7fdf-4269-9542-c21862874f33,coverage,40,%
009e6c05-7fdf-4269-9542-c21862874f33,estimated covered area,500,m²
00b0ddd6-4907-4762-901a-ad79910ee208,estimated covered area,25,m²
00da32c7-d80a-4c84-a467-f5953f9acb38,estimated covered area,1000,m²
01103ac8-b486-4d86-9676-171df95bf029,estimated covered area,100,m²
011d2dfb-5569-4a08-a49c-80d743802fa4,estimated covered area,25,m²
01378232-e2ab-4fcb-a586-3105c4dbff95,estimated covered area,20,m²
013a1601-6a69-4ad6-bb47-3256f448e85a,coverage,20,%
013a1601-6a69-4ad6-bb47-3256f448e85a,estimated covered area,100,m²
013edd30-7e02-4f17-97cc-50f319d2dd48,coverage,0,%
013edd30-7e02-4f17-97cc-50f319d2dd48,estimated covered area,2,m²
01487a88-d24b-4122-a42a-691beb4394c9,coverage,0,%
01487a88-d24b-4122-a42a-691beb4394c9,estimated covered area,50,m²
01749c07-0e41-4ef5-b1fc-da4a1a9236c5,estimated covered area,100,m²
019ce9f9-9fa1-465e-8c87-92a286f62e79,coverage,0,%
019ce9f9-9fa1-465e-8c87-92a286f62e79,estimated covered area,50,m²
01b66e65-dd2b-4b5c-bae8-7c8865dbe050,estimated covered area,300,m²
01bbf04f-7bf2-4270-9353-34b3098089de,coverage,0,%
01bbf04f-7bf2-4270-9353-34b3098089de,estimated covered area,3,m²
01d83b6d-6408-4bbd-bc98-5d8426416a06,coverage,0,%
01d83b6d-6408-4bbd-bc98-5d8426416a06,estimated covered area,15,m²
01f3a135-9ee6-424f-a5d3-31cca2d1ddc6,coverage,0,%
01f3a135-9ee6-424f-a5d3-31cca2d1ddc6,estimated covered area,6,m²
01f741ee-d138-4412-b169-a8e51fc287e7,coverage,30,%
01f741ee-d138-4412-b169-a8e51fc287e7,estimated covered area,4000,m²
02545c38-d27b-42d2-8811-c72760b40409,estimated covered area,500,m²
025564bc-7b4c-4e93-bb96-2c91f54e54e4,estimated covered area,1000,m²
0272158a-82e2-46bb-9f49-6aea5f283016,coverage,0,%
0272158a-82e2-46bb-9f49-6aea5f283016,estimated covered area,100,m²
02739d16-54e4-4e80-aad0-386250f203d9,estimated covered area,300,m²
0277319f-0f8a-46a1-80a4-fde97f1e6f06,estimated covered area,100,m²
02c4ac67-04bf-4e83-983e-72b27090bf9f,estimated covered area,50,m²
02d38a87-0036-4856-92ce-41bc96923322,estimated covered area,100,m²
02ffdbec-4a4f-44e2-9381-08f22a0c7ef5,estimated covered area,200,m²
031f5969-ef4d-4bdd-b55b-1e942eee1118,estimated covered area,20,m²
0351b57e-c560-4d39-98d1-5c161c260d03,estimated covered area,10,m²
035e6003-c88e-4777-a81b-0e46c841420f,coverage,0,%
035e6003-c88e-4777-a81b-0e46c841420f,estimated covered area,20,m²
03691b9a-8455-4326-aa9f-ade04f8a129f,coverage,70,%
03691b9a-8455-4326-aa9f-ade04f8a129f,estimated covered area,30,m²
036f789d-4f27-4dcd-9d5f-3f83b01e7a86,estimated covered area,25,m²
037a56b9-2739-4a62-9329-b185ac871c04,coverage,30,%
037a56b9-2739-4a62-9329-b185ac871c04,estimated covered area,500,m²
0394c1a3-4964-4c49-88d3-aaa26548e7e5,estimated covered area,100,m²
03c83655-befd-46f5-becc-6de7d1b20552,estimated covered area,300,m²
040040a2-ea43-4d00-b4ba-7a4a894f1ae2,estimated covered area,100,m²
04556869-cac5-4431-b021-7c732e21dfe5,coverage,0,%
04556869-cac5-4431-b021-7c732e21dfe5,estimated covered area,10,m²
04680fd2-c8a1-49c0-ae2c-e003d8d6a00f,estimated covered area,150,m²
048fbd26-38f4-46fd-9fe3-668dc4b05e1d,estimated covered area,200,m²
04947a69-00c6-4243-b0c2-194329d9adcf,coverage,80,%
04947a69-00c6-4243-b0c2-194329d9adcf,estimated covered area,500,m²
04a2b4d6-8654-4e8e-9ea1-d9ecdbc736ad,coverage,50,%
04a2b4d6-8654-4e8e-9ea1-d9ecdbc736ad,estimated covered area,300,m²
04ab3ec2-bb65-417f-802d-78844ed3a32f,coverage,40,%
04ab3ec2-bb65-417f-802d-78844ed3a32f,estimated covered area,200,m²
0500375c-bb38-4777-8365-750d55bb0427,estimated covered area,200,m²
052eee39-c3d9-42d0-ad7f-7e428f18a1c4,coverage,80,%
052eee39-c3d9-42d0-ad7f-7e428f18a1c4,estimated covered area,2000,m²
054c675c-87fc-4c64-b905-1630beba6163,estimated covered area,500,m²
05a43341-9a25-455a-b308-aab67c84e3a5,estimated covered area,50,m²
05bbf92b-a354-4791-ba25-10b73c2ecc55,coverage,0,%
05bbf92b-a354-4791-ba25-10b73c2ecc55,estimated covered area,10,m²
05fc11f6-95ba-467f-a2af-ba8cf9644d57,estimated covered area,100,m²
063faa9a-312b-4aef-9a00-2474148e3e92,estimated covered area,100,m²
069b2317-cbb3-43f1-aba4-96583fca3c37,coverage,60,%
069b2317-cbb3-43f1-aba4-96583fca3c37,estimated covered area,5000,m²
070e6a46-4d62-4638-8229-26f8fcfed5af,estimated covered area,1000,m²
07209624-b0c8-407f-a02b-839c681aeb77,estimated covered area,50,m²
075b532e-ef04-4857-a8fc-5918ca9fa442,coverage,90,%
075b532e-ef04-4857-a8fc-5918ca9fa442,estimated covered area,10,m²
07c47ea9-1ebe-45b3-b988-ea12fbe554fd,estimated covered area,25,m²
07ed8f3a-ab94-43b5-9cdc-14acb4946eb7,coverage,50,%
07ed8f3a-ab94-43b5-9cdc-14acb4946eb7,estimated covered area,200,m²
080ca5ed-692e-4e51-b0d6-e76f88bdd625,estimated covered area,5,m²
081a0323-aa85-4fb0-8bb1-535d16734e77,estimated covered area,200,m²
0821b497-1e29-4441-8dee-c9c344ff00f7,estimated covered area,50,m²
084f0903-2d22-405e-be52-0d8abc6ee82e,coverage,0,%
084f0903-2d22-405e-be52-0d8abc6ee82e,estimated covered area,40,m²
086e6a2a-92e1-4ff4-a6f5-cb3f761f7327,coverage,0,%
086e6a2a-92e1-4ff4-a6f5-cb3f761f7327,estimated covered area,10,m²
0876084f-b9d1-4d07-8e31-c623a79c0d96,coverage,0,%
0876084f-b9d1-4d07-8e31-c623a79c0d96,estimated covered area,3000,m²
089a19b6-a934-459b-88f1-8e930fc81e55,coverage,70,%
089a19b6-a934-459b-88f1-8e930fc81e55,estimated covered area,50,m²
089d611c-6413-48db-a824-eb50b2cbe3b5,estimated covered area,400,m²
08ab437f-15a3-430f-a008-fb04f9204eb0,estimated covered area,150,m²
08bcf924-227d-4886-9212-11eda6a23ac0,coverage,0,%
08bcf924-227d-4886-9212-11eda6a23ac0,estimated covered area,20,m²
08c30b12-e306-46b8-a263-baac05255c3a,coverage,20,%
08c30b12-e306-46b8-a263-baac05255c3a,estimated covered area,500,m²
08c41603-3728-4397-8fb6-2f4bb5182951,estimated covered area,500,m²
08daf670-d403-4ceb-b1bf-8708f20802e4,coverage,0,%
08daf670-d403-4ceb-b1bf-8708f20802e4,estimated covered area,50,m²
08e5e80d-ad2f-497c-bea8-8351bb2c5112,estimated covered area,5,m²
09061062-6770-4c87-9cc4-c5569acb274f,coverage,0,%
09061062-6770-4c87-9cc4-c5569acb274f,estimated covered area,6,m²
093c7fa3-121c-41df-84ca-2132fa75cadc,estimated covered area,500,m²
0974cc9f-4b64-4968-8484-45fd153a06c8,estimated covered area,100,m²
09a9cd88-78f3-48d1-ab6b-34290e519721,coverage,0,%
09a9cd88-78f3-48d1-ab6b-34290e519721,estimated covered area,3,m²
09b595d2-b2fc-4092-9069-969e832af9af,estimated covered area,10,m²
0a19474c-1370-4a25-8a99-d4a6835e2bd8,estimated covered area,200,m²
0a33e92d-fea4-4e86-bd1c-ff80cba4325c,estimated covered area,500,m²
0a60d99d-420d-4052-8bfc-67fc87a7936e,estimated covered area,2000,m²
0a788abd-2567-46ed-9dfd-fcf8dfeb2dd3,coverage,50,%
0a788abd-2567-46ed-9dfd-fcf8dfeb2dd3,estimated covered area,1000,m²
0ab70d24-c7a1-4a23-81bd-e0b926fda7ca,coverage,60,%
0ab70d24-c7a1-4a23-81bd-e0b926fda7ca,estimated covered area,1000,m²
0adcb2e7-38b5-47fa-aafd-8c8f29ba1ca6,estimated covered area,400,m²
0b37892b-a1fb-4204-84dd-2baf0c22ff49,coverage,40,%
0b37892b-a1fb-4204-84dd-2baf0c22ff49,estimated covered area,40,m²
0b388e06-9ec9-443e-851d-ebeb7471bd3d,coverage,0,%
0b388e06-9ec9-443e-851d-ebeb7471bd3d,estimated covered area,1,m²
0b654181-18f0-4125-b2bd-f4594088a959,coverage,100,%
0b654181-18f0-4125-b2bd-f4594088a959,estimated covered area,5,m²
0b6b92b9-c4ff-444d-bf94-e4736e9279b9,coverage,30,%
0b6b92b9-c4ff-444d-bf94-e4736e9279b9,estimated covered area,100,m²
0b6f68e7-e622-4460-8f90-be58c48e038d,coverage,0,%
0b6f68e7-e622-4460-8f90-be58c48e038d,estimated covered area,8,m²
0b983cfc-1d38-4629-91a8-de203f50e17f,estimated covered area,1000,m²
0ba3b97f-8612-46d0-86f1-ffdd459cbfe9,estimated covered area,10,m²
0bd7e56e-8958-476d-a85f-d2376c28cee0,estimated covered area,20,m²
0c0db066-263e-4b75-88a5-c71ca9bf0534,estimated covered area,25,m²
0c0f003f-3cd0-4bdb-8224-256ed46249a5,coverage,70,%
0c0f003f-3cd0-4bdb-8224-256ed46249a5,estimated covered area,8,m²
0c2592fa-7c73-469d-b283-916bf70f3ba2,estimated covered area,50,m²
0c3ee15c-cfb1-42f0-b245-f84cd9e49381,estimated covered area,20,m²
0c527ab2-6d63-4966-9d1d-8649e3ee0026,coverage,0,%
0c527ab2-6d63-4966-9d1d-8649e3ee0026,estimated covered area,200,m²
0c6c9d2c-63b4-44b2-87d9-9b5f90124722,coverage,80,%
0c6c9d2c-63b4-44b2-87d9-9b5f90124722,estimated covered area,200,m²
0c8d1979-4eb1-49ef-a00e-9063cf07f252,coverage,50,%
0c8d1979-4eb1-49ef-a00e-9063cf07f252,estimated covered area,10,m²
0ca444cb-2244-4e7e-8848-41d94acba5e4,estimated covered area,50,m²
0ce9f651-e40f-4322-a055-f03cee68ff16,estimated covered area,5,m²
0cf29f51-2022-4fe6-a371-3c5277c89898,coverage,50,%
0cf29f51-2022-4fe6-a371-3c5277c89898,estimated covered area,400,m²
0cfa6b28-646a-4ed9-806f-88ffd1ff2511,estimated covered area,50,m²
0d322af5-4cd1-4c77-8e78-42155d83962e,estimated covered area,500,m²
0d6510e8-f4a7-4edd-8827-4625b6b37904,estimated covered area,1000,m²
0d9b3cd8-6fd4-4c0a-a9ea-724e0166e501,estimated covered area,30,m²
0da52765-d539-485c-a614-c848baa1cf2d,estimated covered area,200,m²
0dba1b8d-d03c-4ed3-8b2c-4edc238e9574,estimated covered area,4000,m²
0dde029b-703d-49fe-b634-1a2695811ee9,estimated covered area,2000,m²
0de4c0b5-496a-41b1-b32d-e5467f14888a,coverage,10,%
0de4c0b5-496a-41b1-b32d-e5467f14888a,estimated covered area,12,m²
0dff68c5-988e-4f4a-bce8-4242dbebd5e0,coverage,0,%
0dff68c5-988e-4f4a-bce8-4242dbebd5e0,estimated covered area,30,m²
0e42c66f-95fa-45dd-ba61-fbd511c3ae88,estimated covered area,150,m²
0eb4ad89-d01c-445a-8b18-eb56fd812f88,coverage,0,%
0eb4ad89-d01c-445a-8b18-eb56fd812f88,estimated covered area,1,m²
0ebc89c9-8b6a-4f33-9f44-e7b0c78e7f94,coverage,30,%
0ebc89c9-8b6a-4f33-9f44-e7b0c78e7f94,estimated covered area,15,m²
0f2905ef-3f71-49e3-812c-c5c1cdf35625,estimated covered area,100,m²
0f68c44f-7622-4231-8c92-9306242b8301,coverage,20,%
0f68c44f-7622-4231-8c92-9306242b8301,estimated covered area,4,m²
